bosseta,b*****a
bostana,b*****a
broxou-me,b*******e
cabrão,c****o
cabrões,c*****s
cabrona,c*****a
cabronas,c******s
cacete,c****e
cocô,c**ô
colhões,c*****s
cona,c**a
corna,c***a
corno,c***o
cornuda,c*****a
corrê,c***ê
ejaculei-me,e*********e
escroto,e*****o
fdp,f*p
filho da puta,f***********a
fodê,f**ê
foda,f**a
foda-se,f*****e
fodam,f***m
fodemos,f*****s
fodido,f****o
fodo,f**o
marica,m****a
maricas,m*****s
mariquinha,m********a
mariquinhas,m*********s
pemba,p***a
pixereca,p******a
porra,p***a
rabudão,r*****o
rabuda,r****a
rabudao,r*****o
rabudo,r****o
rabudona,r******a
sapatão,s*****o
sapatao,s*****o
tomar no cu,t*********u
transa-la,t*******a
transe-me,t*******e
trolha,t****a
vadia,v***a
vagabunda,v*******a
veadão,v****o
veada,v***a
veadao,v****o
viada,v***a
viadao,v****o
xanax,x***x
