agarici,a*******
agaricilor,a**********
alcoolicule,a***********
alcooliştilor,a*************
ampulea,a*******
aurolacule,a**********
avortonule,a**********
babuino,b*******
babuinule,b*********
bagaboanta,b**********
bagaboante,b**********
bagabont,b********
bagabontul,b**********
bagabonţii,b**********
bagabonți,b*********
belești,b*****i
belim,b*****
belit-o,b*******
belite,b******
belitule,b********
bijboaca,b********
borfelina,b*********
borfelină,b*********
borfotinele,b***********
borâţi,b******
boschetarule,b************
boule,b*****
bouleanule,b**********
bozgor,b******
bozgorei,b********
bozgorel,b********
bozgoresc,b*********
bozgori,b*******
bozgorime,b*********
bozgoroaica,b***********
bozgoroaice,b***********
bozgoroica,b**********
bozgorul,b********
bozgorului,b**********
buci,b**i
bulangii,b********
bulangiii,b*********
bulangiilor,b***********
bulangioaica,b************
bulangist,b*********
bulangiu,b********
bulangiul,b*********
bulangiule,b**********
băga-ți-ai,b********i
băga-ți-aș,b********ș
băşimea,b*******
cac,c***
caca,c****
cacau,c*****
cace,c****
cacă,c****
ciochist,c********
cioroiule,c*********
cioropinile,c***********
ciumpalacilor,c*************
ciumpalacului,c*************
coaie,c*****
coaiele,c*******
coaielor,c********
coardo,c******
cocalarule,c**********
coi,c***
coiul,c*****
coițe,c***e
cretinelule,c***********
cretinizatule,c*************
cretino,c*******
cretinoiule,c***********
cretinule,c*********
cumshot,c*******
cunt,c****
cur,c***
curista,c*******
curu,c****
curu-n,c******
curului,c*******
cururi,c******
cururile,c********
cururilor,c*********
curva,c***a
curva,c*****
curvar,c******
curvari,c*******
curvarul,c********
curvarule,c*********
curve,c*****
curvească,c*********
curvei,c******
curvele,c*******
curvesc,c*******
curvet,c******
curveta,c*******
curviştinele,c************
curvo,c*****
curvuştine,c**********
curvă,c*****
cârnăţar,c********
căcam,c*****
căcarea,c*******
căcat,c*****
căcata,c******
căcatul,c*******
căcaturile,c**********
căcaţi,c******
căcaţii,c*******
căcăcioase,c**********
căcăcioasă,c**********
căcăcios,c********
căcăcioşi,c*********
căcănar,c*******
căcănare,c********
căcănarul,c*********
căcănăria,c*********
căcănărie,c*********
dobitoc,d*******
dobitoci,d********
dobitocii,d*********
dobitocule,d**********
dumnezăii,d*********
escrocule,e*********
fascistule,f**********
fraiere,f*******
fraierilor,f**********
fuck,f****
fucks,f*****
fut,f***
futaiuri,f********
fute,f****
futeau,f******
futem,f*****
futu-i,f******
futu-l,f******
futu-m-aș,f*******ș
futu-te,f*******
futu-vă,f*****ă
futu-ţi,f*******
futui,f*****
futut,f*****
futut-o,f*******
futute,f******
fututul,f*******
futută,f******
futuţii,f*******
fuţi,f****
garoiul,g*******
gunoiule,g********
guramasii,g*********
găoaza,g****a
găozar,g****r
găozari,g*******
hairysex,h********
handicapato,h***********
handicapatule,h*************
handicapaţilor,h**************
hardcorsex,h**********
idioato,i*******
idiotule,i********
imbecilo,i********
infectule,i*********
japiță,j****ă
javrelor,j********
jegosule,j********
jegule,j******
jidan,j*****
jidanca,j*******
jidani,j******
jidanilor,j*********
jidanului,j*********
jidănesc,j********
jigodiile,j*********
jizzhut,j*******
labagii,l*****i
labagiilor,l**********
labagiu,l*****u
labagiule,l*********
labă,l**ă
lepădăturilor,l*************
limbincurism,l************
limbistule,l**********
limbricule,l**********
lindic,l****c
linge-m-ai,l********i
linge-mi-ai,l*********i
mILF,m****
mUlE,m****
milf,m****
milfhunter,m**********
mucifer,m*******
muia,m****
muian,m*****
muie,m****
muistele,m********
muistul,m*******
muistule,m********
mă-sii,m******
mă-ta,m*****
mă-tii,m******
mătărânga,m*********
naşpetule,n*********
nefutute,n********
nesimţitule,n***********
oligofrenilor,o*************
oligofrenule,o************
onanist,o*****t
onaniști,o******i
pANARAME,p********
parazitule,p**********
pizda,p*****
pizdeală,p********
pizdele,p*******
pizdilici,p*********
pizdit,p******
pizdita,p*******
pizdologii,p**********
pizdulici,p*********
pizdă,p***ă
piş,p***
pişat,p*****
pişatul,p*******
pişe,p****
pişi,p****
pişăm,p*****
piţipoancelor,p*************
pișa-m-aș,p*******ș
pișe,p****
poponar,p*******
poponari,p********
poponarii,p*********
poponarilor,p***********
poponaut,p********
porcule,p*******
porn,p****
pornhub,p*******
porno,p*****
porntube,p********
proastelor,p**********
proasto,p*******
prostanacule,p************
prostane,p********
pula,p****
pula-n,p******
pule,p****
pulea,p*****
pulelor,p*******
pulica,p******
pulice,p******
pulifrici,p*********
pulifriciule,p************
pulii,p*****
pulime,p******
pulimea,p*******
pulimii,p*******
pulă,p****
putoareo,p********
putregaiule,p***********
putrezitule,p***********
rahaţilor,r*********
ratato,r******
ratatule,r********
retardatule,r***********
retardelor,r**********
retardule,r*********
retarzii,r********
retarzilor,r**********
sexbot,s******
sexfree,s*******
sextube,s*******
sextv,s*****
shit,s****
sifiliticule,s************
suge-i-o,s********
suge-m-ai,s*******i
suge-mi-ai,s********i
trogloditule,t************
tuciuriule,t**********
tâmpito,t*******
tâmpitule,t*********
târfa,t*****
târfele,t*******
târfelor,t********
unguroilor,u**********
unguroiule,u**********
xnxx,x****
xvideos,x*******
youjizz,y*******
youporn,y*******
şobolanule,ş**********
﻿cACI,﻿*****
