กรรมของกู,ก*********
กระเด้า,ก******
กวนส้นตีน,ก********
กวย,ก**
กู,**
ขี้ดากหมา,ข********
ขี้ตีน,ข*****
ควย,ค**
ควยถอก,ค*****
คุณตัว,ค*****
จัญไร,จ****
จันไร,จ****
จู๋,จ**
ชาติชั่ว,ช*******
ชาติหมา,ช******
ชิงหมาเกิด,ช*********
ชิบหาย,ช*****
ดาก,ด**
ตัวเชรี่ย,ต********
ตัวเชี่ย,ต*******
ตัวเหี้ย,ต*******
ปิ๊,ป**
ปี้,ป**
พ่อง,พ***
พ่องตาย,พ******
พ่อมรึงตาย,พ*********
พ่อมรึงสิ,พ********
พ่อมึงตาย,พ********
พ่อเมิง,พ******
พ่อเมิงตาย,พ*********
ฟักยู,ฟ****
มึง,ม**
ยักสุเน็ต,ย********
ยัดแม่,ย*****
สมองหมา ปัญญาควาย,ส****************
สันดานหมา,ส********
สันดานไพร่,ส*********
สัส,ส**
สาดหมา,ส*****
สาดเอ้ย,ส******
สาดเอ๊ย,ส******
ส้นตีน,ส*****
หงี่,ห***
หน้าควายตัวเมีย,ห**************
หน้าตัวเมีย,ห**********
หน้าหรี,ห******
หน้าหี,ห*****
หน้าเชรี่ย,ห*********
หน้าเชี่ย,ห********
หน้าเม็ด,ห*******
หน้าเหรี้ย,ห*********
หน้าเหี้ย,ห********
หมอย,ห***
หมาสี้แม่ง,ห*********
หอยรุงรัง,ห********
หัวควย,ห*****
หำ,**
หี,**
หีบาน,ห****
หีระเบิด,ห*******
หีแตด,ห****
ห่าราก,ห*****
อิ่เชรี่ย,อ********
อิ่เชี่ย,อ*******
อิ่เหี้ย,อ*******
อีกะหรี่,อ*******
อีดอก,อ****
อีดอกทอง,อ*******
อีดำ,อ***
อีตัว,อ****
อีตุ๊ด,อ*****
อีบ้า,อ****
อีสัตว์,อ******
อีสัส,อ****
อีห่า,อ****
อีห่าราก,อ*******
อีเลว,อ****
อีเวน,อ****
อีเวร,อ****
อีเห็ดสด,อ*******
อีไพร่,อ*****
เงี่ยน,เ*****
เชรี่ย,เ*****
เชรี่ยๆ,เ******
เชี่ย,เ****
เชี่ยๆ,เ*****
เย็ด,เ***
เย็ดเด็ก,เ*******
เย็ดแม่,เ******
เย็ดแม่ง,เ*******
เย็ดโด้,เ******
เย็ท,เ***
เย้ด,เ***
เย๊ด,เ***
เวรตะไล,เ******
เสือก,เ****
เหียก,เ****
เหี้ย,เ****
เหี้ยๆ,เ*****
แดก,แ**
แตด,แ**
แม่ง,แ***
แม่งตาย,แ******
แม่มรึงตาย,แ*********
แม่มรึงสิ,แ********
แม่มึงตาย,แ********
แม่เมิง,แ******
แม่เมิงตาย,แ*********
แย่เม็ด,แ******
โคดพ่อ,โ*****
โคตร,โ***
โคตรพ่อ,โ******
โคตรแม่,โ******
โครตพ่อ,โ******
โครตพ่อโครตแม่,โ*************
โครตแม่ง,โ*******
โม๊ก,โ***
ไอสัศ,ไ***
ไอ้จู๋,ไ*****
ไอ้ดอกทอง,ไ********
ไอ้สัด,ไ*****
ไอ้สัตว์,ไ*******
ไอ้ห่า,ไ*****
ไอ้เชรี่ย,ไ********
ไอ้เชี่ย,ไ*******
ไอ้เหี้ย,ไ*******
ไอ้เห็ดสด,ไ********
ไอ้ไพร่,ไ******
