URLs,Categorization,Language
epochtimes.com,News and Media,Multiple
ntdtv.com,News and Media,Multiple
icij.org,News and Media,English
minghui.org,Philosophy and Political Advocacy,Multiple
wj411.com,Business and Economy,Chinese
peacehall.com,News and Media,Chinese/English
bannedbook.org,News and Media,Chinese
voa-islam.com,News and Media,Indonesian
yhcqw.com,News and Media,Chinese
11108.com,Gambling,Chinese
9832.com,Gambling,Chinese
47222.com,Gambling,Chinese
8994.com,Gambling,Chinese
wj411.com,Gambling,Chinese
00466.com,Gambling,Chinese
118kj.com,Gambling,Chinese
789990.com,Gambling,Chinese
hk60.com,Gambling,Chinese
58008.com,Gambling,Chinese
31355.com,Gambling,Chinese
235777.com,Gambling,Chinese
277.cc,Gambling,Chinese
132232.com,Gambling,Chinese
111159.com,Gambling,Chinese
90092.com,Gambling,Chinese
44460.com,Gambling,Chinese
677699.com,Gambling,Chinese
78814.com,Gambling,Chinese
25777.com,Gambling,Chinese
139666.com,Gambling,Chinese
069888.com,Gambling,Chinese
78345.com,Gambling,Chinese
123kkj.com,Gambling,Chinese
03088.com,Gambling,Chinese
605566.com,Gambling,Chinese
34563.com,Gambling,Chinese
5kj.com,Gambling,Chinese
tt533.com,Gambling,Chinese
43884.com,Gambling,Chinese
4749999.com,Gambling,Chinese
00901.com,Gambling,Chinese
